"ind","plot","trait1","trait2"
"Coll0001",1,84.5812713970589,12.6728035095175
"Coll0001",2,91.8441602800251,11.7124753019875
"Coll0001",3,120.641370963579,11.3233131085107
"Coll0001",4,81.967394904209,12.7394269731701
"Coll0002",5,88.0486449906511,13.2773071610341
"Coll0002",6,47.7831492854658,14.4082557086455
"Coll0002",7,77.0372994095684,11.5427824632524
"Coll0002",8,81.0040471692507,11.6386231352258
"Coll0003",9,70.082017068092,11.5459720096857
"Coll0003",10,86.5985703379626,10.3149456317428
"Coll0003",11,71.2614777051464,11.180409865698
"Coll0003",12,72.6265451766009,11.3413541344816
"Coll0004",13,49.3065840442417,10.4032958748472
"Coll0004",14,68.4071905855471,10.8109677043511
"Coll0004",15,67.6202677437473,11.0054332526971
"Coll0004",16,53.5957735317477,11.4195925690542
"Coll0005",17,78.7519757455898,13.8960850557266
"Coll0005",18,102.461131604548,14.3945423651744
"Coll0005",19,76.6349134791164,14.4756172349404
"Coll0005",20,92.7103716454066,14.1950194111112
"Coll0006",21,86.9175830569899,11.2714182393061
"Coll0006",22,81.810615058769,12.4377395432459
"Coll0006",23,78.2430711975359,14.0667252613925
"Coll0006",24,113.669924161832,12.6807123469125
"Coll0007",25,58.4686127332799,13.3434348338163
"Coll0007",26,48.7015974719636,12.176431358673
"Coll0007",27,75.0169904848937,11.0155987161208
"Coll0007",28,76.4481427281046,12.2358963468646
"Coll0008",29,81.7520244819765,13.1897126161176
"Coll0008",30,45.5578015928383,14.0237434159863
"Coll0008",31,54.6698203784852,14.4475704299125
"Coll0008",32,56.9354657321556,11.9745523319334
"Coll0009",33,59.8679130513203,12.3054167297544
"Coll0009",34,57.3784241572137,10.8906277168903
"Coll0009",35,55.831054371846,11.1847851264113
"Coll0009",36,45.2704893947914,9.74413442644543
"Coll0010",37,50.9664297085936,13.3933612384271
"Coll0010",38,37.797594540256,13.9190867910293
"Coll0010",39,65.7858217518074,13.9276142386397
"Coll0010",40,46.2989890783374,12.5416516027937
"Coll0011",41,78.4910755666327,12.7187624517871
"Coll0011",42,79.78309673966,12.8658814968386
"Coll0011",43,70.1000904065956,12.649519339199
"Coll0011",44,87.8475950600922,12.541574598085
"Coll0012",45,89.544728332224,10.4759529372863
"Coll0012",46,110.211446734993,11.7379000729459
"Coll0012",47,107.969122880865,10.0707404783946
"Coll0012",48,91.3421563744978,10.004350870466
"Coll0013",49,59.1324452686151,11.4609160514178
"Coll0013",50,81.966861018026,11.8590598710696
"Coll0013",51,51.4489669287411,11.5657928983316
"Coll0013",52,96.3829118531377,13.0474130977524
"Coll0014",53,14.8370296404426,15.0984293179479
"Coll0014",54,67.3906572901024,13.8912221415705
"Coll0014",55,77.0257228125494,12.5708587449192
"Coll0014",56,53.6889397619547,12.5211854551689
"Coll0015",57,55.7935320831496,10.9265398631132
"Coll0015",58,71.7239649878901,10.9526346546296
"Coll0015",59,95.1488995374185,10.6449488528405
"Coll0015",60,71.9217435874867,12.0946361800624
"Coll0016",61,74.8103028785303,10.8954647327748
"Coll0016",62,103.301407549703,11.4016155825464
"Coll0016",63,99.6445509657096,9.99616065165869
"Coll0016",64,65.9676100267158,10.2350680381057
"Coll0017",65,92.3812700847041,13.8732240061437
"Coll0017",66,63.7762184420741,14.2119240324004
"Coll0017",67,62.5599193380665,13.3696487332062
"Coll0017",68,56.2976229897164,13.0814929155683
"Coll0018",69,84.5672873751695,10.7146173132698
"Coll0018",70,94.8307947354144,11.4197576644592
"Coll0018",71,70.4098098203442,11.8559901210403
"Coll0018",72,67.8627407901992,10.2842225897233
"Coll0019",73,48.798959050401,12.8066679676527
"Coll0019",74,76.1924605691839,12.3154050674462
"Coll0019",75,72.5043689015814,11.8641336670974
"Coll0019",76,73.0294423417347,11.4908507102026
"Coll0020",77,31.9676174036476,12.8158383436297
"Coll0020",78,51.3292615009992,11.5896797204632
"Coll0020",79,75.2523143500899,11.5231040340117
"Coll0020",80,82.6050919192549,11.4530242390268
"Coll0021",81,91.2031773212262,13.3323729589939
"Coll0021",82,66.4950015938911,12.6280168759383
"Coll0021",83,88.9794528612823,12.8114846893801
"Coll0021",84,97.3800513840919,12.5808986395455
"Coll0022",85,63.7378819772652,12.1087443306671
"Coll0022",86,90.1967468669052,10.7397115826853
"Coll0022",87,61.892251466839,11.9433837241059
"Coll0022",88,60.4245382983304,11.6191905764585
"Coll0023",89,108.782197648242,10.6012725931178
"Coll0023",90,86.2007723193352,11.4841955944878
"Coll0023",91,93.6408505150228,11.7376791200993
"Coll0023",92,87.0542634966061,11.7905320273193
"Coll0024",93,87.980176780278,13.1878587350987
"Coll0024",94,97.9919806802878,12.6815248824851
"Coll0024",95,95.9425728448457,12.3390638451931
"Coll0024",96,92.2285802512579,11.7228112044201
"Coll0025",97,76.1591073070421,14.7504326570564
"Coll0025",98,71.874387186462,15.2334400301933
"Coll0025",99,99.7376361809717,15.7229721602861
"Coll0025",100,72.748286281975,14.5404658230891
"Coll0026",101,81.9834449899514,9.51155335999928
"Coll0026",102,105.918643005152,9.97405223032463
"Coll0026",103,93.5005008884464,10.7016459171161
"Coll0026",104,79.4279025916678,9.86096816232885
"Coll0027",105,76.6870945945404,12.8090351758009
"Coll0027",106,67.6376505261665,10.9705542050209
"Coll0027",107,104.962611868568,12.2407092381689
"Coll0027",108,68.1314673705625,11.3386460064327
"Coll0028",109,70.182847344793,15.2554149145709
"Coll0028",110,89.4430137209137,14.7032738919494
"Coll0028",111,100.661321559241,14.8795466408047
"Coll0028",112,98.3227734413092,15.6773809527356
"Coll0029",113,85.3416446725583,14.2072001560073
"Coll0029",114,59.2945039687791,14.7489792565952
"Coll0029",115,87.7534832588901,14.803282326504
